        R,                     Em
4.33,-0.6890662201
4.34,-0.688898455
4.35,-0.6887298446
4.36,-0.6885604043
4.37,-0.6883901491
4.38,-0.688219094
4.39,-0.6880472537
4.4,-0.6878746428
4.41,-0.6877012757
4.42,-0.6875271664
4.43,-0.687352329
4.44,-0.6871767773
4.45,-0.6870005249
4.46,-0.6868235853
4.47,-0.6866459717
4.48,-0.6864676972
4.49,-0.6862887747
4.5,-0.6861092171
4.51,-0.6859290368
4.52,-0.6857482463
4.53,-0.685566858
4.54,-0.6853848838
4.55,-0.6852023358
4.56,-0.6850192257
4.57,-0.6848355652
4.58,-0.6846513657
4.59,-0.6844666387
4.6,-0.6842813952
4.61,-0.6840956465
4.62,-0.6839094033
4.63,-0.6837226764
4.64,-0.6835354766
4.65,-0.6833478141
4.66,-0.6831596995
4.67,-0.6829711429
4.68,-0.6827821545
4.69,-0.6825927441
4.7,-0.6824029216
4.71,-0.6822126968
4.72,-0.6820220791
4.73,-0.6818310781
4.74,-0.6816397031
4.75,-0.6814479633
4.76,-0.6812558677
4.77,-0.6810634255
4.78,-0.6808706454
4.79,-0.6806775361
4.8,-0.6804841064
4.81,-0.6802903647
4.82,-0.6800963195
4.83,-0.679901979
4.84,-0.6797073515
4.85,-0.6795124451
4.86,-0.6793172676
4.87,-0.6791218271
4.88,-0.6789261314
4.89,-0.678730188
4.9,-0.6785340046
4.91,-0.6783375886
4.92,-0.6781409476
4.93,-0.6779440887
4.94,-0.6777470191
4.95,-0.677549746
4.96,-0.6773522764
4.97,-0.6771546172
4.98,-0.6769567753
4.99,-0.6767587574
5,-0.6765605701
